Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
07/02/2024,23:16:40:990,40.000267,-79.999909,490862500,-92.61,-92.61,0,0
07/02/2024,23:16:41:010,40.000267,-79.999907,490862500,-91.1,-91.1,0,0
07/02/2024,23:16:43:914,40.000264,-79.999875,1,-101.38,-101.38,0,0,
07/02/2024,23:16:44:033,40.000264,-79.999874,1,-91.64,-91.64,0,0,
07/02/2024,23:16:44:156,40.000264,-79.999873,1,-105.74,-105.74,0,0,
07/02/2024,23:16:44:276,40.000264,-79.999872,1,-94.56,-94.56,0,0,
07/02/2024,23:16:44:406,40.000264,-79.999871,1,-92.06,-92.06,0,0,
07/02/2024,23:16:44:519,40.000263,-79.999870,1,-99.61,-99.61,0,0,
07/02/2024,23:16:44:644,40.000263,-79.999869,1,-99.31,-99.31,0,0,
07/02/2024,23:16:44:768,40.000263,-79.999868,1,-92.47,-92.47,0,0,
07/02/2024,23:16:44:905,40.000263,-79.999867,1,-95.18,-95.18,0,0,
07/02/2024,23:16:45:027,40.000263,-79.999865,1,-96.61,-96.61,0,0,
07/02/2024,23:16:45:150,40.000263,-79.999864,1,-91.1,-91.1,0,0,
07/02/2024,23:16:45:254,40.000263,-79.999863,1,-100.32,-100.32,0,0,
07/02/2024,23:16:45:379,40.000263,-79.999862,1,-98.57,-98.57,0,0,
07/02/2024,23:16:45:500,40.000263,-79.999861,1,-97.37,-97.37,0,0,
07/02/2024,23:16:45:623,40.000262,-79.999860,1,-98.68,-98.68,0,0,
07/02/2024,23:16:45:746,40.000262,-79.999859,1,-98.54,-98.54,0,0,
07/02/2024,23:16:45:872,40.000262,-79.999858,1,-98.35,-98.35,0,0,
07/02/2024,23:16:45:996,40.000262,-79.999857,1,-101,-101,0,0,
07/02/2024,23:16:46:121,40.000262,-79.999856,1,-98.4,-98.4,0,0,
07/02/2024,23:16:46:568,40.000262,-79.999854,1,-92.05,-92.05,0,0,
07/02/2024,23:16:46:596,40.000262,-79.999853,1,-101.93,-101.93,0,0,
07/02/2024,23:16:46:630,40.000262,-79.999852,1,-92.82,-92.82,0,0,
07/02/2024,23:16:46:657,40.000261,-79.999851,1,-94.63,-94.63,0,0,
07/02/2024,23:16:46:728,40.000261,-79.999850,1,-89.36,-89.36,0,0,
07/02/2024,23:16:46:847,40.000261,-79.999849,1,-90.91,-90.91,0,0,
07/02/2024,23:16:46:970,40.000261,-79.999848,1,-94.71,-94.71,0,0,
07/02/2024,23:16:47:091,40.000261,-79.999847,1,-98.63,-98.63,0,0,
07/02/2024,23:16:47:221,40.000261,-79.999846,1,-96.33,-96.33,0,0,
07/02/2024,23:16:47:340,40.000261,-79.999844,1,-97.61,-97.61,0,0,
07/02/2024,23:16:47:467,40.000261,-79.999843,1,-97.76,-97.76,0,0,
07/02/2024,23:16:47:591,40.000261,-79.999842,1,-95.24,-95.24,0,0,
07/02/2024,23:16:47:707,40.000260,-79.999841,1,-96.26,-96.26,0,0,
07/02/2024,23:16:47:829,40.000260,-79.999840,1,-90.76,-90.76,0,0,
07/02/2024,23:16:47:957,40.000260,-79.999839,1,-95.85,-95.85,0,0,
07/02/2024,23:16:48:077,40.000260,-79.999838,1,-100.74,-100.74,0,0,
07/02/2024,23:16:48:202,40.000260,-79.999837,1,-96.22,-96.22,0,0,
07/02/2024,23:16:48:316,40.000260,-79.999836,1,-90.72,-90.72,0,0,
07/02/2024,23:16:48:459,40.000260,-79.999835,1,-98.82,-98.82,0,0,
07/02/2024,23:16:48:588,40.000260,-79.999833,1,-96.89,-96.89,0,0,
07/02/2024,23:16:48:682,40.000260,-79.999832,1,-100.07,-100.07,0,0,
07/02/2024,23:16:48:807,40.000259,-79.999831,1,-96.34,-96.34,0,0,
07/02/2024,23:16:48:934,40.000259,-79.999830,1,-93.12,-93.12,0,0,
07/02/2024,23:16:49:077,40.000259,-79.999829,1,-93.17,-93.17,0,0,
07/02/2024,23:16:49:179,40.000259,-79.999828,1,-104,-104,0,0,
07/02/2024,23:16:49:303,40.000259,-79.999827,1,-90.02,-90.02,0,0,
07/02/2024,23:16:49:425,40.000259,-79.999826,1,-99.22,-99.22,0,0,
07/02/2024,23:16:49:549,40.000259,-79.999825,1,-93.51,-93.51,0,0,
07/02/2024,23:16:49:676,40.000259,-79.999823,1,-95.09,-95.09,0,0,
07/02/2024,23:16:49:807,40.000259,-79.999822,1,-94.08,-94.08,0,0,
07/02/2024,23:16:49:914,40.000258,-79.999821,1,-93.49,-93.49,0,0,
07/02/2024,23:16:50:034,40.000258,-79.999820,1,-96.71,-96.71,0,0,
07/02/2024,23:16:50:157,40.000258,-79.999819,1,-91.02,-91.02,0,0,
07/02/2024,23:16:50:288,40.000258,-79.999818,1,-89.29,-89.29,0,0,
07/02/2024,23:16:50:398,40.000258,-79.999817,1,-91.95,-91.95,0,0,
07/02/2024,23:16:50:550,40.000258,-79.999816,1,-94.42,-94.42,0,0,
07/02/2024,23:16:50:656,40.000258,-79.999815,1,-99.86,-99.86,0,0,
07/02/2024,23:16:50:774,40.000258,-79.999814,1,-93.85,-93.85,0,0,
07/02/2024,23:16:50:887,40.000258,-79.999812,1,-94.83,-94.83,0,0,
07/02/2024,23:16:51:011,40.000257,-79.999811,1,-101.41,-101.41,0,0,
07/02/2024,23:16:51:136,40.000257,-79.999810,1,-89.08,-89.08,0,0,
07/02/2024,23:16:51:271,40.000257,-79.999809,1,-92.54,-92.54,0,0,
07/02/2024,23:16:51:381,40.000257,-79.999808,1,-93.86,-93.86,0,0,
07/02/2024,23:16:51:505,40.000257,-79.999807,1,-98.99,-98.99,0,0,
07/02/2024,23:16:51:854,40.000257,-79.999806,1,-94.41,-94.41,0,0,
07/02/2024,23:16:51:881,40.000257,-79.999805,1,-104.28,-104.28,0,0,
07/02/2024,23:16:51:909,40.000257,-79.999804,1,-90.15,-90.15,0,0,
07/02/2024,23:16:52:012,40.000257,-79.999802,1,-89.98,-89.98,0,0,
07/02/2024,23:16:52:112,40.000256,-79.999801,1,-100.48,-100.48,0,0,
07/02/2024,23:16:52:233,40.000256,-79.999800,1,-91.87,-91.87,0,0,
07/02/2024,23:16:52:393,40.000256,-79.999799,1,-99.9,-99.9,0,0,
07/02/2024,23:16:52:482,40.000256,-79.999798,1,-98.35,-98.35,0,0,
07/02/2024,23:16:52:619,40.000256,-79.999797,1,-90.83,-90.83,0,0,
07/02/2024,23:16:52:727,40.000256,-79.999796,1,-88.8,-88.8,0,0,
07/02/2024,23:16:52:848,40.000256,-79.999795,1,-92.71,-92.71,0,0,
07/02/2024,23:16:52:971,40.000256,-79.999794,1,-98.01,-98.01,0,0,
07/02/2024,23:16:53:094,40.000256,-79.999793,1,-94.89,-94.89,0,0,
07/02/2024,23:16:53:213,40.000255,-79.999791,1,-97.05,-97.05,0,0,
07/02/2024,23:16:53:338,40.000255,-79.999790,1,-94.39,-94.39,0,0,
07/02/2024,23:16:53:471,40.000255,-79.999789,1,-91.47,-91.47,0,0,
07/02/2024,23:16:53:587,40.000255,-79.999788,1,-94.15,-94.15,0,0,
07/02/2024,23:16:53:703,40.000255,-79.999787,1,-100.65,-100.65,0,0,
07/02/2024,23:16:53:827,40.000255,-79.999786,1,-93.76,-93.76,0,0,
07/02/2024,23:16:53:951,40.000255,-79.999785,1,-89.99,-89.99,0,0,
07/02/2024,23:16:54:098,40.000255,-79.999784,1,-95.58,-95.58,0,0,
07/02/2024,23:16:54:216,40.000255,-79.999783,1,-97.51,-97.51,0,0,
07/02/2024,23:16:54:320,40.000254,-79.999781,1,-91.39,-91.39,0,0,
07/02/2024,23:16:54:440,40.000254,-79.999780,1,-91.46,-91.46,0,0,
07/02/2024,23:16:54:560,40.000254,-79.999779,1,-99.75,-99.75,0,0,
07/02/2024,23:16:54:689,40.000254,-79.999778,1,-98.65,-98.65,0,0,
07/02/2024,23:16:54:809,40.000254,-79.999777,1,-95.02,-95.02,0,0,
07/02/2024,23:16:54:933,40.000254,-79.999776,1,-99.2,-99.2,0,0,
07/02/2024,23:16:55:057,40.000254,-79.999775,1,-95.84,-95.84,0,0,
07/02/2024,23:16:55:172,40.000254,-79.999774,1,-90.93,-90.93,0,0,
07/02/2024,23:16:55:294,40.000254,-79.999773,1,-93.09,-93.09,0,0,
07/02/2024,23:16:55:417,40.000253,-79.999771,1,-90.2,-90.2,0,0,
07/02/2024,23:16:55:539,40.000253,-79.999770,1,-95.5,-95.5,0,0,
07/02/2024,23:16:55:661,40.000253,-79.999769,1,-96.27,-96.27,0,0,
07/02/2024,23:16:55:787,40.000253,-79.999768,1,-105.46,-105.46,0,0,
07/02/2024,23:16:55:911,40.000253,-79.999767,1,-95.22,-95.22,0,0,
07/02/2024,23:16:56:043,40.000253,-79.999766,1,-92.11,-92.11,0,0,
07/02/2024,23:16:56:177,40.000253,-79.999765,1,-95.97,-95.97,0,0,
07/02/2024,23:16:56:293,40.000253,-79.999764,1,-94.99,-94.99,0,0,
07/02/2024,23:16:56:398,40.000253,-79.999763,1,-95.04,-95.04,0,0,
07/02/2024,23:16:56:525,40.000252,-79.999762,1,-96.75,-96.75,0,0,
07/02/2024,23:16:56:641,40.000252,-79.999760,1,-91.59,-91.59,0,0,
07/02/2024,23:16:56:769,40.000252,-79.999759,1,-91.37,-91.37,0,0,
07/02/2024,23:16:57:126,40.000252,-79.999758,1,-103.4,-103.4,0,0,
07/02/2024,23:16:57:151,40.000252,-79.999757,1,-95.15,-95.15,0,0,
07/02/2024,23:16:57:177,40.000252,-79.999756,1,-89.72,-89.72,0,0,
07/02/2024,23:16:57:257,40.000252,-79.999755,1,-98.71,-98.71,0,0,
07/02/2024,23:16:57:384,40.000252,-79.999754,1,-94.37,-94.37,0,0,
07/02/2024,23:16:57:499,40.000252,-79.999753,1,-90.37,-90.37,0,0,
07/02/2024,23:16:57:626,40.000251,-79.999752,1,-96.37,-96.37,0,0,
07/02/2024,23:16:57:747,40.000251,-79.999750,1,-94.41,-94.41,0,0,
07/02/2024,23:16:57:867,40.000251,-79.999749,1,-95.33,-95.33,0,0,
07/02/2024,23:16:57:996,40.000251,-79.999748,1,-99.51,-99.51,0,0,
07/02/2024,23:16:58:119,40.000251,-79.999747,1,-95.19,-95.19,0,0,
07/02/2024,23:16:58:244,40.000251,-79.999746,1,-97.27,-97.27,0,0,
07/02/2024,23:16:58:361,40.000251,-79.999745,1,-90.29,-90.29,0,0,
07/02/2024,23:16:58:498,40.000251,-79.999744,1,-91.61,-91.61,0,0,
07/02/2024,23:16:58:603,40.000251,-79.999743,1,-98.45,-98.45,0,0,
07/02/2024,23:16:58:726,40.000250,-79.999742,1,-89.95,-89.95,0,0,
07/02/2024,23:16:58:848,40.000250,-79.999741,1,-96.07,-96.07,0,0,
07/02/2024,23:16:58:976,40.000250,-79.999739,1,-91.81,-91.81,0,0,
07/02/2024,23:16:59:092,40.000250,-79.999738,1,-99.98,-99.98,0,0,
07/02/2024,23:16:59:214,40.000250,-79.999737,1,-87.42,-87.42,0,0,
07/02/2024,23:16:59:345,40.000250,-79.999736,1,-99.11,-99.11,0,0,
07/02/2024,23:16:59:465,40.000250,-79.999735,1,-98.53,-98.53,0,0,
07/02/2024,23:16:59:582,40.000250,-79.999734,1,-88.04,-88.04,0,0,
07/02/2024,23:16:59:702,40.000250,-79.999733,1,-101.4,-101.4,0,0,
07/02/2024,23:16:59:829,40.000249,-79.999732,1,-96.76,-96.76,0,0,
07/02/2024,23:16:59:963,40.000249,-79.999731,1,-88.84,-88.84,0,0,
07/02/2024,23:17:00:069,40.000249,-79.999729,1,-96,-96,0,0,
07/02/2024,23:17:00:193,40.000249,-79.999728,1,-106.8,-106.8,0,0,
07/02/2024,23:17:00:314,40.000249,-79.999727,1,-91.45,-91.45,0,0,
07/02/2024,23:17:00:437,40.000249,-79.999726,1,-90.39,-90.39,0,0,
07/02/2024,23:17:00:562,40.000249,-79.999725,1,-88.85,-88.85,0,0,
07/02/2024,23:17:00:686,40.000249,-79.999724,1,-94.42,-94.42,0,0,
07/02/2024,23:17:00:811,40.000249,-79.999723,1,-89.71,-89.71,0,0,
07/02/2024,23:17:00:933,40.000248,-79.999722,1,-98.47,-98.47,0,0,
07/02/2024,23:17:01:050,40.000248,-79.999721,1,-92.19,-92.19,0,0,
07/02/2024,23:17:01:178,40.000248,-79.999720,1,-98.56,-98.56,0,0,
07/02/2024,23:17:01:302,40.000248,-79.999718,1,-86.43,-86.43,0,0,
07/02/2024,23:17:01:459,40.000248,-79.999717,1,-92.79,-92.79,0,0,
07/02/2024,23:17:01:547,40.000248,-79.999716,1,-93.85,-93.85,0,0,
07/02/2024,23:17:01:674,40.000248,-79.999715,1,-89.34,-89.34,0,0,
07/02/2024,23:17:01:785,40.000248,-79.999714,1,-101.99,-101.99,0,0,
07/02/2024,23:17:01:911,40.000248,-79.999713,1,-88.25,-88.25,0,0,
07/02/2024,23:17:02:038,40.000247,-79.999712,1,-89.53,-89.53,0,0,
07/02/2024,23:17:02:404,40.000247,-79.999711,1,-94.1,-94.1,0,0,
07/02/2024,23:17:02:461,40.000247,-79.999710,1,-90.81,-90.81,0,0,
07/02/2024,23:17:02:491,40.000247,-79.999708,1,-94.88,-94.88,0,0,
07/02/2024,23:17:02:526,40.000247,-79.999707,1,-94.06,-94.06,0,0,
07/02/2024,23:17:02:647,40.000247,-79.999706,1,-90.91,-90.91,0,0,
07/02/2024,23:17:02:762,40.000247,-79.999705,1,-89.99,-89.99,0,0,
07/02/2024,23:17:02:887,40.000247,-79.999704,1,-94.06,-94.06,0,0,
07/02/2024,23:17:03:009,40.000246,-79.999703,1,-93.53,-93.53,0,0,
07/02/2024,23:17:03:130,40.000246,-79.999702,1,-92.73,-92.73,0,0,
07/02/2024,23:17:03:259,40.000246,-79.999701,1,-89.11,-89.11,0,0,
07/02/2024,23:17:03:381,40.000246,-79.999700,1,-88.25,-88.25,0,0,
07/02/2024,23:17:03:514,40.000246,-79.999699,1,-90.99,-90.99,0,0,
07/02/2024,23:17:03:656,40.000246,-79.999697,1,-93.19,-93.19,0,0,
07/02/2024,23:17:03:754,40.000246,-79.999696,1,-85.52,-85.52,0,0,
07/02/2024,23:17:03:866,40.000246,-79.999695,1,-90.22,-90.22,0,0,
07/02/2024,23:17:03:995,40.000246,-79.999694,1,-92.45,-92.45,0,0,
07/02/2024,23:17:04:110,40.000245,-79.999693,1,-92.39,-92.39,0,0,
07/02/2024,23:17:04:232,40.000245,-79.999692,1,-91.29,-91.29,0,0,
07/02/2024,23:17:04:359,40.000245,-79.999691,1,-92.71,-92.71,0,0,
07/02/2024,23:17:04:478,40.000245,-79.999690,1,-91.56,-91.56,0,0,
07/02/2024,23:17:04:611,40.000245,-79.999689,1,-100.31,-100.31,0,0,
07/02/2024,23:17:04:729,40.000245,-79.999687,1,-92.26,-92.26,0,0,
07/02/2024,23:17:04:847,40.000245,-79.999686,1,-90.59,-90.59,0,0,
07/02/2024,23:17:04:996,40.000245,-79.999685,1,-96.03,-96.03,0,0,
07/02/2024,23:17:05:109,40.000245,-79.999684,1,-94.76,-94.76,0,0,
07/02/2024,23:17:05:235,40.000244,-79.999683,1,-88.36,-88.36,0,0,
07/02/2024,23:17:05:402,40.000244,-79.999682,1,-87.27,-87.27,0,0,
07/02/2024,23:17:05:495,40.000244,-79.999681,1,-99.84,-99.84,0,0,
07/02/2024,23:17:05:624,40.000244,-79.999680,1,-100.73,-100.73,0,0,
07/02/2024,23:17:05:741,40.000244,-79.999679,1,-94.13,-94.13,0,0,
07/02/2024,23:17:05:870,40.000244,-79.999678,1,-95.12,-95.12,0,0,
07/02/2024,23:17:06:002,40.000244,-79.999676,1,-97.89,-97.89,0,0,
07/02/2024,23:17:06:136,40.000244,-79.999675,1,-92.75,-92.75,0,0,
07/02/2024,23:17:06:274,40.000244,-79.999674,1,-91.87,-91.87,0,0,
07/02/2024,23:17:06:381,40.000243,-79.999673,1,-94.63,-94.63,0,0,
07/02/2024,23:17:06:503,40.000243,-79.999672,1,-90.68,-90.68,0,0,
07/02/2024,23:17:06:629,40.000243,-79.999671,1,-95.13,-95.13,0,0,
07/02/2024,23:17:06:749,40.000243,-79.999670,1,-96.09,-96.09,0,0,
07/02/2024,23:17:06:865,40.000243,-79.999669,1,-95.36,-95.36,0,0,
07/02/2024,23:17:06:990,40.000243,-79.999668,1,-99.15,-99.15,0,0,
07/02/2024,23:17:07:116,40.000243,-79.999666,1,-95.96,-95.96,0,0,
07/02/2024,23:17:07:245,40.000243,-79.999665,1,-95.47,-95.47,0,0,
07/02/2024,23:17:07:359,40.000243,-79.999664,1,-97.39,-97.39,0,0,
07/02/2024,23:17:07:694,40.000242,-79.999663,1,-92.57,-92.57,0,0,
07/02/2024,23:17:07:719,40.000242,-79.999662,1,-95.17,-95.17,0,0,
07/02/2024,23:17:07:747,40.000242,-79.999661,1,-94.22,-94.22,0,0,
07/02/2024,23:17:07:847,40.000242,-79.999660,1,-89.81,-89.81,0,0,
07/02/2024,23:17:07:971,40.000242,-79.999659,1,-93.21,-93.21,0,0,
07/02/2024,23:17:08:098,40.000242,-79.999658,1,-94.69,-94.69,0,0,
07/02/2024,23:17:08:230,40.000242,-79.999657,1,-99.24,-99.24,0,0,
07/02/2024,23:17:08:336,40.000242,-79.999655,1,-90.05,-90.05,0,0,
07/02/2024,23:17:08:460,40.000242,-79.999654,1,-97.17,-97.17,0,0,
07/02/2024,23:17:08:579,40.000241,-79.999653,1,-89.49,-89.49,0,0,
07/02/2024,23:17:08:718,40.000241,-79.999652,1,-96.44,-96.44,0,0,
07/02/2024,23:17:08:832,40.000241,-79.999651,1,-99.49,-99.49,0,0,
07/02/2024,23:17:08:949,40.000241,-79.999650,1,-96.22,-96.22,0,0,
07/02/2024,23:17:09:077,40.000241,-79.999649,1,-89.05,-89.05,0,0,
07/02/2024,23:17:09:211,40.000241,-79.999648,1,-91.29,-91.29,0,0,
07/02/2024,23:17:09:348,40.000241,-79.999647,1,-90.71,-90.71,0,0,
07/02/2024,23:17:09:441,40.000241,-79.999645,1,-87.77,-87.77,0,0,
07/02/2024,23:17:09:564,40.000241,-79.999644,1,-89.27,-89.27,0,0,
07/02/2024,23:17:09:682,40.000240,-79.999643,1,-89.9,-89.9,0,0,
07/02/2024,23:17:09:814,40.000240,-79.999642,1,-92.72,-92.72,0,0,
07/02/2024,23:17:09:928,40.000240,-79.999641,1,-92.83,-92.83,0,0,
07/02/2024,23:17:10:056,40.000240,-79.999640,1,-94.91,-94.91,0,0,
07/02/2024,23:17:10:172,40.000240,-79.999639,1,-88.99,-88.99,0,0,
07/02/2024,23:17:10:298,40.000240,-79.999638,1,-91.26,-91.26,0,0,
07/02/2024,23:17:10:423,40.000240,-79.999637,1,-90.87,-90.87,0,0,
07/02/2024,23:17:10:548,40.000240,-79.999636,1,-90.48,-90.48,0,0,
07/02/2024,23:17:10:662,40.000240,-79.999634,1,-90.85,-90.85,0,0,
07/02/2024,23:17:10:784,40.000239,-79.999633,1,-88.3,-88.3,0,0,
07/02/2024,23:17:10:929,40.000239,-79.999632,1,-86,-86,0,0,
07/02/2024,23:17:11:059,40.000239,-79.999631,1,-92.92,-92.92,0,0,
07/02/2024,23:17:11:178,40.000239,-79.999630,1,-101.31,-101.31,0,0,
07/02/2024,23:17:11:274,40.000239,-79.999629,1,-93.19,-93.19,0,0,
07/02/2024,23:17:11:396,40.000239,-79.999628,1,-89.25,-89.25,0,0,
07/02/2024,23:17:11:525,40.000239,-79.999627,1,-96.29,-96.29,0,0,
07/02/2024,23:17:11:641,40.000239,-79.999626,1,-93.03,-93.03,0,0,
07/02/2024,23:17:11:769,40.000239,-79.999624,1,-92.86,-92.86,0,0,
07/02/2024,23:17:11:904,40.000238,-79.999623,1,-88.19,-88.19,0,0,
07/02/2024,23:17:12:011,40.000238,-79.999622,1,-88.99,-88.99,0,0,
07/02/2024,23:17:12:133,40.000238,-79.999621,1,-91.65,-91.65,0,0,
07/02/2024,23:17:12:258,40.000238,-79.999620,1,-96.59,-96.59,0,0,
07/02/2024,23:17:12:387,40.000238,-79.999619,1,-90.36,-90.36,0,0,
07/02/2024,23:17:12:510,40.000238,-79.999618,1,-101.47,-101.47,0,0,
07/02/2024,23:17:12:624,40.000238,-79.999617,1,-93.82,-93.82,0,0,
07/02/2024,23:17:12:968,40.000238,-79.999616,1,-91.66,-91.66,0,0,
07/02/2024,23:17:13:007,40.000238,-79.999615,1,-90.74,-90.74,0,0,
07/02/2024,23:17:13:036,40.000237,-79.999613,1,-91.58,-91.58,0,0,
07/02/2024,23:17:13:121,40.000237,-79.999612,1,-96.86,-96.86,0,0,
07/02/2024,23:17:13:239,40.000237,-79.999611,1,-90.42,-90.42,0,0,
07/02/2024,23:17:13:360,40.000237,-79.999610,1,-91.91,-91.91,0,0,
07/02/2024,23:17:13:479,40.000237,-79.999609,1,-101.1,-101.1,0,0,
07/02/2024,23:17:13:607,40.000237,-79.999608,1,-102.26,-102.26,0,0,
07/02/2024,23:17:13:723,40.000237,-79.999607,1,-101.98,-101.98,0,0,
07/02/2024,23:17:13:848,40.000237,-79.999606,1,-95.88,-95.88,0,0,
07/02/2024,23:17:13:974,40.000237,-79.999605,1,-93.45,-93.45,0,0,
07/02/2024,23:17:14:097,40.000236,-79.999603,1,-99.41,-99.41,0,0,
07/02/2024,23:17:14:232,40.000236,-79.999602,1,-97.43,-97.43,0,0,
07/02/2024,23:17:14:358,40.000236,-79.999601,1,-96.61,-96.61,0,0,
07/02/2024,23:17:14:482,40.000236,-79.999600,1,-90.93,-90.93,0,0,
07/02/2024,23:17:14:615,40.000236,-79.999599,1,-93.1,-93.1,0,0,
07/02/2024,23:17:14:740,40.000236,-79.999598,1,-88.4,-88.4,0,0,
07/02/2024,23:17:14:862,40.000236,-79.999597,1,-91.8,-91.8,0,0,
07/02/2024,23:17:14:970,40.000236,-79.999596,1,-89.88,-89.88,0,0,
07/02/2024,23:17:15:096,40.000236,-79.999595,1,-90.7,-90.7,0,0,
07/02/2024,23:17:15:230,40.000235,-79.999594,1,-90.25,-90.25,0,0,
07/02/2024,23:17:15:341,40.000235,-79.999592,1,-92.89,-92.89,0,0,
07/02/2024,23:17:15:461,40.000235,-79.999591,1,-90.41,-90.41,0,0,
07/02/2024,23:17:15:579,40.000235,-79.999590,1,-95.28,-95.28,0,0,
07/02/2024,23:17:15:704,40.000235,-79.999589,1,-93.33,-93.33,0,0,
07/02/2024,23:17:15:824,40.000235,-79.999588,1,-89.94,-89.94,0,0,
07/02/2024,23:17:15:954,40.000235,-79.999587,1,-91.58,-91.58,0,0,
07/02/2024,23:17:16:071,40.000235,-79.999586,1,-86.86,-86.86,0,0,
07/02/2024,23:17:16:193,40.000235,-79.999585,1,-87.66,-87.66,0,0,
07/02/2024,23:17:16:329,40.000234,-79.999584,1,-92.44,-92.44,0,0,
07/02/2024,23:17:16:439,40.000234,-79.999582,1,-89.47,-89.47,0,0,
07/02/2024,23:17:16:565,40.000234,-79.999581,1,-98.6,-98.6,0,0,
07/02/2024,23:17:16:685,40.000234,-79.999580,1,-89.35,-89.35,0,0,
07/02/2024,23:17:16:811,40.000234,-79.999579,1,-97.37,-97.37,0,0,
07/02/2024,23:17:16:931,40.000234,-79.999578,1,-90.86,-90.86,0,0,
07/02/2024,23:17:17:048,40.000234,-79.999577,1,-101.66,-101.66,0,0,
07/02/2024,23:17:17:182,40.000234,-79.999576,1,-101.76,-101.76,0,0,
07/02/2024,23:17:17:309,40.000234,-79.999575,1,-92.93,-92.93,0,0,
07/02/2024,23:17:17:427,40.000233,-79.999574,1,-93.44,-93.44,0,0,
07/02/2024,23:17:17:551,40.000233,-79.999573,1,-96.06,-96.06,0,0,
07/02/2024,23:17:17:673,40.000233,-79.999571,1,-87.7,-87.7,0,0,
07/02/2024,23:17:17:797,40.000233,-79.999570,1,-91.11,-91.11,0,0,
07/02/2024,23:17:17:918,40.000233,-79.999569,1,-85.3,-85.3,0,0,
07/02/2024,23:17:18:268,40.000233,-79.999568,1,-82.02,-82.02,0,0,
07/02/2024,23:17:18:295,40.000233,-79.999567,1,-82.04,-82.04,0,0,
07/02/2024,23:17:18:321,40.000233,-79.999566,1,-82.75,-82.75,0,0,
07/02/2024,23:17:18:412,40.000233,-79.999565,1,-83.06,-83.06,0,0,
07/02/2024,23:17:18:545,40.000232,-79.999564,1,-84.79,-84.79,0,0,
07/02/2024,23:17:18:650,40.000232,-79.999563,1,-82.55,-82.55,0,0,
07/02/2024,23:17:18:775,40.000232,-79.999561,1,-80.14,-80.14,0,0,
07/02/2024,23:17:18:904,40.000232,-79.999560,1,-90.73,-90.73,0,0,
07/02/2024,23:17:19:021,40.000232,-79.999559,1,-85.25,-85.25,0,0,
07/02/2024,23:17:19:141,40.000232,-79.999558,1,-88.88,-88.88,0,0,
07/02/2024,23:17:19:276,40.000232,-79.999557,1,-95.46,-95.46,0,0,
07/02/2024,23:17:19:394,40.000232,-79.999556,1,-85.72,-85.72,0,0,
07/02/2024,23:17:19:517,40.000231,-79.999555,1,-83.24,-83.24,0,0,
